,기준년도,사용본거지시읍면동_행정동기준,차명,연료
88578,2022,서울특별시 강남구 대치동,EV6,전기
88579,2022,서울특별시 강남구 대치동,EV6,전기
88580,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88581,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88582,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88583,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88584,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88585,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88586,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88587,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88588,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88589,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88590,2022,서울특별시 강남구 대치동,EV6,전기
88591,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88592,2022,서울특별시 강남구 대치동,GV60,전기
88593,2022,서울특별시 강남구 대치동,GV60,전기
88594,2022,서울특별시 강남구 대치동,GV60,전기
88595,2022,서울특별시 강남구 대치동,GV60,전기
88596,2022,서울특별시 강남구 대치동,GV60,전기
88597,2022,서울특별시 강남구 대치동,GV60,전기
88598,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88599,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88600,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88601,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88602,2022,서울특별시 강남구 대치동,EV6,전기
88603,2022,서울특별시 강남구 대치동,GV60,전기
88604,2022,서울특별시 강남구 대치동,EV6,전기
88605,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88606,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88607,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88608,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88609,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88610,2022,서울특별시 강남구 대치동,GV60,전기
88611,2022,서울특별시 강남구 대치동,GV60,전기
88612,2022,서울특별시 강남구 대치동,GV60,전기
88613,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88614,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88615,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88616,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88617,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88618,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88619,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88620,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88621,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88622,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88623,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88624,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88625,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88626,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88627,2022,서울특별시 강남구 대치동,코나 일렉트릭 (KONA ELECTRIC,전기
88628,2022,서울특별시 강남구 대치동,쏘울 EV,전기
88629,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88630,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88631,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88632,2022,서울특별시 강남구 대치동,GV60,전기
88633,2022,서울특별시 강남구 대치동,GV60,전기
88634,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88635,2022,서울특별시 강남구 대치동,GV60,전기
88636,2022,서울특별시 강남구 대치동,GV60,전기
88637,2022,서울특별시 강남구 대치동,GV60,전기
88638,2022,서울특별시 강남구 대치동,GV60,전기
88639,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88640,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88641,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88642,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88643,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88644,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88645,2022,서울특별시 강남구 대치동,쏘울 EV,전기
88646,2022,서울특별시 강남구 대치동,코나 일렉트릭 (KONA ELECTRIC,전기
88647,2022,서울특별시 강남구 대치동,EV6,전기
88648,2022,서울특별시 강남구 대치동,EV6,전기
88649,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88650,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88651,2022,서울특별시 강남구 대치동,니로 EV,전기
88652,2022,서울특별시 강남구 대치동,니로 EV,전기
88653,2022,서울특별시 강남구 대치동,니로 EV,전기
88654,2022,서울특별시 강남구 대치동,니로 EV,전기
88655,2022,서울특별시 강남구 대치동,니로 EV,전기
88656,2022,서울특별시 강남구 대치동,니로 EV,전기
88657,2022,서울특별시 강남구 대치동,니로 EV,전기
88658,2022,서울특별시 강남구 대치동,EV6,전기
88659,2022,서울특별시 강남구 대치동,EV6,전기
88660,2022,서울특별시 강남구 대치동,EV6,전기
88661,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88662,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88663,2022,서울특별시 강남구 대치동,EV6,전기
88664,2022,서울특별시 강남구 대치동,EV6,전기
88665,2022,서울특별시 강남구 대치동,EV6,전기
88666,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88667,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88668,2022,서울특별시 강남구 대치동,니로 EV,전기
88669,2022,서울특별시 강남구 대치동,니로 EV,전기
88670,2022,서울특별시 강남구 대치동,니로 EV,전기
88671,2022,서울특별시 강남구 대치동,니로 EV,전기
88672,2022,서울특별시 동작구 상도동,Model Y Long Range,전기
88673,2022,서울특별시 동작구 상도동,Model 3 Long Range,전기
88674,2022,서울특별시 동작구 상도동,포터Ⅱ 일렉트릭 (PORTERⅡ EL,전기
88675,2022,서울특별시 강남구 대치동,EV6,전기
88676,2022,서울특별시 강남구 대치동,EV6,전기
88677,2022,서울특별시 강남구 대치동,EV6,전기
88678,2022,서울특별시 강남구 대치동,EV6,전기
88679,2022,서울특별시 강남구 대치동,EV6,전기
88680,2022,서울특별시 강남구 대치동,EV6,전기
88681,2022,서울특별시 강남구 대치동,EV6,전기
88682,2022,서울특별시 강남구 대치동,EV6,전기
88683,2022,서울특별시 강남구 대치동,EV6,전기
88684,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88685,2022,서울특별시 강남구 대치동,EV6,전기
88686,2022,서울특별시 강남구 대치동,EV6,전기
88687,2022,서울특별시 강남구 대치동,EV6,전기
88688,2022,서울특별시 강남구 대치동,EV6,전기
88689,2022,서울특별시 강남구 대치동,EV6,전기
88690,2022,서울특별시 강남구 대치동,EV6,전기
88691,2022,서울특별시 강남구 대치동,니로 EV,전기
88692,2022,서울특별시 강남구 대치동,니로 EV,전기
88693,2022,서울특별시 강남구 대치동,EV6,전기
88694,2022,서울특별시 강남구 대치동,EV6,전기
88695,2022,서울특별시 강남구 대치동,EV6,전기
88696,2022,서울특별시 강남구 대치동,니로 EV,전기
88697,2022,서울특별시 강남구 대치동,EV6,전기
88698,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88699,2022,서울특별시 강남구 대치동,니로 EV,전기
88700,2022,서울특별시 강남구 대치동,니로 EV,전기
88701,2022,서울특별시 강남구 대치동,니로 EV,전기
88702,2022,서울특별시 강남구 대치동,니로 EV,전기
88703,2022,서울특별시 강남구 대치동,EV6,전기
88704,2022,서울특별시 강남구 대치동,EV6,전기
88705,2022,서울특별시 강남구 대치동,EV6,전기
88706,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88707,2022,서울특별시 강남구 대치동,EV6,전기
88708,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88709,2022,서울특별시 강남구 대치동,EV6,전기
88710,2022,서울특별시 강남구 대치동,EV6,전기
88711,2022,서울특별시 강남구 대치동,EV6,전기
88712,2022,서울특별시 강남구 대치동,EV6,전기
88713,2022,서울특별시 강남구 대치동,EV6,전기
88714,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88715,2022,서울특별시 강남구 대치동,EV6,전기
88716,2022,서울특별시 강남구 대치동,EV6,전기
88717,2022,서울특별시 강남구 대치동,EV6,전기
88718,2022,서울특별시 강남구 대치동,EV6,전기
88719,2022,서울특별시 강남구 대치동,니로 EV,전기
88720,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
